time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,14.8,11.8,19.0,,,232.0,20.9,,1019.2,
2018-01-02,15.6,12.0,19.0,,,195.0,17.4,,1020.6,
2018-01-03,16.4,13.0,20.0,,,197.0,17.0,,1018.3,
2018-01-04,16.0,12.8,19.0,,,214.0,31.9,,1014.2,
2018-01-05,16.9,15.1,19.0,,,240.0,33.5,,1012.2,
2018-01-06,15.8,13.0,19.0,,,251.0,11.7,,1019.9,
2018-01-07,15.7,10.0,21.0,,,,15.3,,1025.6,
2018-01-08,15.5,10.0,21.1,,,40.0,18.7,,1027.8,
2018-01-09,15.8,10.0,21.0,,,48.0,18.1,,1027.0,
2018-01-10,15.8,11.0,21.0,,,63.0,16.9,,1021.7,
2018-01-11,18.9,12.9,24.0,,,202.0,19.8,,1016.6,
2018-01-12,17.2,13.0,21.0,,,,8.1,,,
2018-01-13,15.9,11.0,20.0,,,357.0,11.5,,1016.9,
2018-01-14,16.5,13.0,20.0,,,229.0,19.6,,1018.8,
2018-01-15,16.4,13.7,19.6,,,281.0,11.5,,1025.0,
2018-01-16,15.2,12.0,19.0,,,24.0,11.6,,1024.3,
2018-01-17,16.7,12.0,20.0,,,,9.1,,1018.7,
2018-01-18,17.5,13.0,22.0,,,212.0,33.0,,1014.0,
2018-01-19,14.7,12.7,17.0,,,274.0,22.2,,1017.6,
2018-01-20,14.8,10.0,19.0,,,,9.5,,1022.4,
2018-01-21,16.2,10.0,21.0,,,,15.3,,1016.3,
2018-01-22,17.7,14.0,21.0,,,203.0,29.5,,1011.8,
2018-01-23,17.4,15.7,19.0,,,257.0,23.5,,1014.0,
2018-01-24,16.4,15.0,19.0,,,,12.7,,,
2018-01-25,13.3,11.0,15.2,,,,20.2,,1015.0,
2018-01-26,11.7,10.0,13.2,,,245.0,27.3,,1017.7,
2018-01-27,13.5,11.0,16.1,,,,13.4,,1022.6,
2018-01-28,14.0,10.0,18.0,,,,5.1,,1025.1,
2018-01-29,14.9,11.0,19.0,,,,8.4,,1024.1,
2018-01-30,14.8,11.0,19.0,,,,6.7,,1024.5,
2018-01-31,14.6,10.0,18.5,,,34.0,10.8,,,
2018-02-01,15.0,11.0,19.0,,,36.0,14.7,,1022.8,
2018-02-02,16.0,11.0,22.0,,,45.0,16.4,,1024.0,
2018-02-03,16.4,11.0,22.0,,,,8.5,,1022.9,
2018-02-04,20.2,13.0,28.4,,,,7.5,,1019.9,
2018-02-05,21.4,15.0,27.0,,,,9.1,,1017.5,
2018-02-06,21.9,16.0,27.0,,,,9.9,,1018.2,
2018-02-07,21.1,14.0,29.0,,,46.0,21.7,,1019.0,
2018-02-08,22.4,18.0,30.0,,,15.0,10.2,,1015.6,
2018-02-09,20.0,16.8,24.5,,,,11.1,,1014.3,
2018-02-10,23.1,15.0,32.0,,,,12.9,,1008.0,
2018-02-11,21.3,18.0,29.0,,,350.0,20.6,,1010.5,
2018-02-12,17.5,15.0,21.0,,,356.0,13.4,,1014.0,
2018-02-13,16.2,13.0,19.3,,,269.0,17.1,,1018.9,
2018-02-14,15.8,12.0,19.6,,,40.0,12.0,,1020.9,
2018-02-15,16.4,13.0,20.0,,,15.0,13.3,,1016.7,
2018-02-16,16.6,12.0,21.2,,,,9.9,,1013.7,
2018-02-17,15.6,13.0,18.1,,,227.0,16.3,,1014.9,
2018-02-18,17.4,13.0,21.7,,,270.0,15.8,,1017.6,
2018-02-19,17.5,13.0,21.0,,,,7.9,,1016.1,
2018-02-20,18.3,13.0,22.5,,,,9.5,,1012.3,
2018-02-21,20.2,15.0,25.1,,,,13.5,,1009.0,
2018-02-22,20.2,15.0,25.0,,,,8.2,,1009.8,
2018-02-23,19.2,16.0,23.0,,,33.0,13.5,,1008.4,
2018-02-24,18.2,13.0,23.0,,,,8.4,,1011.1,
2018-02-25,19.7,17.0,23.0,,,252.0,16.3,,1010.8,
2018-02-26,21.4,17.0,26.4,,,200.0,21.6,,1008.6,
2018-02-27,18.4,16.0,21.0,,,,9.8,,1013.2,
2018-02-28,18.2,13.0,22.6,,,55.0,13.5,,1015.6,
2018-03-01,20.2,15.0,26.0,,,,10.5,,1015.8,
2018-03-02,19.9,15.0,26.2,,,18.0,11.5,,1015.6,
2018-03-03,23.1,10.8,29.0,,,,12.9,,1012.2,
