time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,6.3,5.1,7.2,5.1,,251.0,19.8,,999.1,
2018-01-02,8.1,4.6,11.6,0.0,,224.0,19.4,,1005.0,
2018-01-03,9.4,7.6,12.6,10.7,,256.0,39.5,,996.1,
2018-01-04,8.5,6.6,12.6,4.3,,241.0,25.5,,994.4,
2018-01-05,7.1,4.6,8.6,5.8,,239.0,17.4,,994.6,
2018-01-06,3.9,1.6,5.6,0.3,,28.0,9.8,,1009.8,
2018-01-07,3.6,2.6,5.6,0.0,,45.0,18.1,,1025.3,
2018-01-08,4.6,3.6,5.6,0.0,,75.0,23.3,,1021.4,
2018-01-09,5.4,4.6,7.6,0.0,,135.0,11.9,,1007.7,
2018-01-10,8.1,6.6,9.6,0.5,,266.0,13.8,,1004.7,
2018-01-11,6.8,5.6,7.6,0.0,,343.0,8.0,,1017.9,
2018-01-12,6.9,5.6,7.6,0.3,,129.0,8.5,,1025.6,
2018-01-13,5.8,4.6,6.6,0.3,,119.0,17.2,,1020.1,
2018-01-14,5.6,4.6,6.6,0.0,,102.0,10.0,,1018.0,
2018-01-15,8.5,5.6,11.6,1.5,,227.0,25.8,,998.7,
2018-01-16,5.9,3.6,7.6,3.8,,250.0,30.4,,994.9,
2018-01-17,5.6,3.6,7.6,0.0,,251.0,31.8,,1004.2,
2018-01-18,8.3,4.6,11.6,0.5,,259.0,35.8,,1000.0,
2018-01-19,4.4,2.6,6.6,0.0,,247.0,22.3,,1008.9,
2018-01-20,3.8,2.6,5.6,0.0,,80.0,12.8,,1003.6,
2018-01-21,3.9,1.6,10.6,5.1,,184.0,11.6,,1011.6,
2018-01-22,9.5,8.6,10.6,13.7,,265.0,17.3,,1012.1,
2018-01-23,11.0,8.6,13.6,0.0,,222.0,19.3,,1015.3,
2018-01-24,10.4,7.6,13.6,0.5,,230.0,27.1,,1007.2,
2018-01-25,8.1,6.6,10.6,7.1,,217.0,18.1,,1007.8,
2018-01-26,5.9,4.6,7.6,0.0,,306.0,7.9,,1018.8,
2018-01-27,7.9,4.6,11.6,0.0,,221.0,17.4,,1026.0,
2018-01-28,11.6,9.6,13.6,0.8,,246.0,24.8,,1030.0,
2018-01-29,10.5,5.6,12.6,0.0,,261.0,25.5,,1027.7,
2018-01-30,6.0,2.6,8.6,0.5,,220.0,11.9,,1026.6,
2018-01-31,7.3,3.6,10.6,0.5,,245.0,27.2,,1005.3,
2018-02-01,5.4,3.6,7.6,2.5,,280.0,24.9,,1003.1,
2018-02-02,5.6,4.6,6.6,0.0,,292.0,17.9,,1010.8,
2018-02-03,4.6,3.6,5.6,0.0,,282.0,8.5,,1008.0,
2018-02-04,3.6,1.6,5.6,5.8,,23.0,13.1,,1024.1,
2018-02-05,2.7,0.6,3.6,0.0,,44.0,12.3,,1026.3,
2018-02-06,2.2,0.6,3.6,0.0,,17.0,11.7,,1018.3,
2018-02-07,2.6,1.6,5.6,0.0,,333.0,11.2,,1020.4,
2018-02-08,3.9,-0.4,7.6,0.0,,219.0,15.7,,1017.8,
2018-02-09,5.4,2.6,6.6,4.3,,263.0,23.8,,1010.4,
2018-02-10,5.0,0.6,9.6,1.3,,219.0,19.9,,1011.1,
2018-02-11,5.9,2.6,10.6,3.3,,265.0,31.0,,1003.8,
2018-02-12,3.5,0.6,6.6,0.0,,234.0,19.2,,1014.1,
2018-02-13,4.4,3.6,5.6,0.3,,163.0,18.3,,1002.4,
2018-02-14,4.7,1.6,6.6,2.3,,183.0,17.2,,1004.8,
2018-02-15,8.1,4.6,9.6,5.1,,241.0,18.5,,1009.8,
2018-02-16,5.6,2.6,9.6,0.0,,220.0,13.0,,1024.1,
2018-02-17,5.7,1.6,10.6,0.0,,159.0,7.6,,1022.4,
2018-02-18,6.6,1.6,10.6,0.0,,160.0,8.7,,1021.8,
