time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,9.9,3.6,16.9,0.0,0.0,98.0,3.4,,1019.2,
2019-01-02,9.8,4.1,15.8,0.0,0.0,72.0,3.9,,1022.3,
2019-01-03,11.9,6.4,18.6,0.0,0.0,343.0,3.0,,1021.5,
2019-01-04,11.6,6.4,16.9,0.0,0.0,124.0,3.6,,1016.6,
2019-01-05,11.5,9.1,14.1,14.2,0.0,89.0,7.4,,1014.8,
2019-01-06,11.9,8.0,15.3,0.0,0.0,230.0,5.8,,1019.0,
2019-01-07,12.2,10.3,15.3,5.3,0.0,94.0,8.7,,1023.3,
2019-01-08,14.7,9.7,21.4,0.0,0.0,11.0,2.6,,1019.6,
2019-01-09,13.2,8.6,17.5,0.0,0.0,290.0,4.6,,1020.1,
2019-01-10,12.9,9.7,16.4,0.0,0.0,207.0,4.3,,1019.9,
2019-01-11,13.1,10.8,17.5,0.0,0.0,106.0,6.1,,1017.8,
2019-01-12,12.5,10.3,15.8,23.6,0.0,77.0,4.1,,1016.5,
2019-01-13,12.0,8.0,15.8,0.0,0.0,78.0,2.6,,1017.7,
2019-01-14,11.6,10.3,13.0,27.4,0.0,78.0,8.9,,1015.5,
2019-01-15,11.9,10.3,14.7,17.5,0.0,90.0,9.8,,1016.8,
2019-01-16,13.9,11.9,15.8,17.0,0.0,108.0,9.5,,1020.7,
2019-01-17,15.2,14.1,15.8,14.5,0.0,221.0,11.9,,1020.9,
2019-01-18,14.6,11.9,17.5,0.0,0.0,238.0,3.9,,1023.8,
2019-01-19,16.6,11.9,25.8,0.0,0.0,0.0,2.6,,1022.8,
2019-01-20,15.6,11.9,21.4,0.0,0.0,275.0,7.7,,1017.7,
2019-01-21,14.1,11.9,16.9,0.0,0.0,314.0,16.9,,1018.1,
2019-01-22,14.0,9.7,18.6,0.0,0.0,315.0,5.4,,1023.6,
2019-01-23,12.9,6.9,18.6,0.0,0.0,332.0,3.9,,1025.0,
2019-01-24,15.8,9.1,25.3,0.0,0.0,86.0,2.7,,1019.8,
2019-01-25,16.2,9.7,24.1,0.0,0.0,315.0,3.7,,1019.8,
2019-01-26,17.0,10.3,24.1,0.0,0.0,89.0,3.0,,1021.9,
2019-01-27,16.3,10.3,23.6,0.0,0.0,112.0,2.6,,1019.1,
2019-01-28,15.3,10.3,22.5,0.0,0.0,172.0,2.8,,1015.3,
2019-01-29,15.7,13.0,19.7,0.0,0.0,174.0,4.4,,1012.8,
