time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,27.4,23.6,32.6,,,127.0,11.8,,1008.5,
2018-01-02,27.4,23.6,31.6,,,,10.3,,1005.1,
2018-01-03,28.3,23.6,35.6,,,256.0,15.8,,,
2018-01-04,24.5,21.6,28.6,2.0,,146.0,10.2,,1012.6,
2018-01-05,24.2,20.6,27.6,0.0,,37.0,6.9,,1014.7,
2018-01-06,26.8,23.6,32.6,,,335.0,10.7,,1011.0,
2018-01-07,25.3,23.6,28.6,5.1,,253.0,10.4,,1012.9,
2018-01-08,24.6,22.6,27.6,51.1,,302.0,8.7,,,
2018-01-09,26.7,22.6,30.6,16.0,,44.0,10.5,,1017.4,
2018-01-10,27.8,24.6,32.6,0.0,,126.0,12.5,,1017.8,
2018-01-11,27.4,24.6,31.6,,,127.0,14.2,,1015.1,
2018-01-12,26.7,24.6,30.6,,,,7.6,,1012.2,
2018-01-13,26.6,23.6,30.6,,,3.0,10.9,,,
2018-01-14,27.4,23.6,31.6,2.0,,358.0,9.0,,1011.2,
2018-01-15,28.5,24.6,35.6,0.0,,346.0,11.7,,,
2018-01-16,28.0,23.6,32.6,6.1,,147.0,12.8,,1013.3,
2018-01-17,27.2,23.6,31.6,0.0,,81.0,12.0,,1013.1,
2018-01-18,29.5,23.6,36.6,,,32.0,7.1,,1011.1,
2018-01-19,28.4,24.6,32.6,,,186.0,12.3,,1012.1,
2018-01-20,27.4,23.6,31.6,,,104.0,10.8,,1013.7,
2018-01-21,27.2,24.6,31.6,,,167.0,12.3,,1012.3,
2018-01-22,28.0,25.6,32.6,,,0.0,12.4,,1010.8,
2018-01-23,28.5,24.6,34.6,2.0,,26.0,11.8,,1009.6,
2018-01-24,29.2,25.6,32.6,0.0,,49.0,13.3,,1010.2,
2018-01-25,29.0,25.6,33.6,,,78.0,12.2,,1009.3,
2018-01-26,26.6,24.6,29.6,,,93.0,12.0,,1012.2,
2018-01-27,25.9,22.6,28.6,38.1,,149.0,17.3,,1012.9,
2018-01-28,26.7,23.6,30.6,5.1,,94.0,11.0,,1010.5,
2018-01-29,27.1,24.6,31.6,0.0,,27.0,11.9,,1006.5,
2018-01-30,23.8,22.6,25.6,8.9,,281.0,10.0,,969.4,
2018-01-31,25.6,22.6,29.6,10.9,,324.0,10.6,,1010.6,
2018-02-01,26.2,22.6,30.6,0.0,,229.0,15.6,,1010.2,
2018-02-02,26.2,23.6,30.6,,,151.0,12.6,,1008.5,
2018-02-03,26.5,22.6,30.6,,,122.0,13.3,,1008.5,
2018-02-04,25.5,22.6,28.6,,,148.0,11.2,,1012.0,
2018-02-05,22.0,20.6,23.6,,,0.0,7.5,,1011.1,
2018-02-06,24.3,21.6,29.6,,,45.0,10.5,,1008.8,
2018-02-07,25.7,22.6,29.6,5.1,,250.0,10.6,,1009.3,
2018-02-08,26.8,23.6,30.6,0.0,,105.0,11.9,,1011.2,
2018-02-09,27.9,24.6,32.6,,,82.0,11.7,,1011.8,
2018-02-10,30.0,25.6,35.6,,,8.0,10.8,,1011.1,
2018-02-11,30.1,25.6,34.6,,,90.0,12.4,,1010.3,
2018-02-12,30.9,26.6,37.6,,,340.0,12.4,,1009.7,
2018-02-13,28.7,26.6,31.6,,,115.0,10.9,,1012.5,
2018-02-14,26.1,23.6,30.3,,,282.0,15.9,,1017.1,
2018-02-15,27.1,23.6,30.6,87.1,,181.0,13.8,,,
2018-02-16,26.8,24.6,31.6,0.0,,23.0,12.0,,,
2018-02-17,26.7,23.6,30.6,1.0,,57.0,10.8,,1015.6,
2018-02-18,26.4,23.6,31.6,0.0,,47.0,13.0,,,
2018-02-19,26.8,23.6,31.6,,,26.0,11.7,,,
2018-02-20,28.6,25.6,35.6,2.0,,19.0,11.6,,969.1,
2018-02-21,29.2,24.6,33.6,0.0,,340.0,12.3,,,
2018-02-22,26.4,23.6,30.3,21.1,,108.0,9.7,,,
2018-02-23,25.1,23.6,27.6,4.1,,303.0,8.9,,,
2018-02-24,25.6,22.6,30.6,0.0,,140.0,10.2,,1016.3,
2018-02-25,27.0,23.6,30.6,,,98.0,11.9,,1014.9,
2018-02-26,26.7,24.6,30.6,,,86.0,9.9,,1013.8,
2018-02-27,25.6,23.6,28.6,,,194.0,9.9,,1011.7,
2018-02-28,27.0,23.6,30.6,,,82.0,13.2,,1011.0,
2018-03-01,27.7,24.6,31.6,,,116.0,12.3,,1012.9,
2018-03-02,28.1,25.6,32.6,,,93.0,12.0,,1012.7,
2018-03-03,27.4,25.6,30.6,,,4.0,10.0,,1010.5,
2018-03-04,28.1,25.6,32.6,,,74.0,11.1,,1008.4,
2018-03-05,28.3,25.6,32.6,,,105.0,11.4,,1007.5,
2018-03-06,28.5,25.6,32.6,,,73.0,12.0,,1008.4,
2018-03-07,28.0,25.6,31.6,,,105.0,12.2,,,
2018-03-08,25.2,23.6,26.6,,,307.0,11.7,,1011.9,
2018-03-09,25.4,23.6,27.6,,,90.0,9.1,,1012.3,
2018-03-10,26.6,23.6,30.6,,,88.0,10.9,,1011.4,
2018-03-11,27.1,24.6,30.6,,,121.0,11.3,,1007.8,
2018-03-12,28.0,24.6,33.6,,,87.0,12.8,,1006.5,
2018-03-13,27.2,25.6,28.6,,,159.0,9.1,,1010.3,
2018-03-14,28.6,24.6,31.6,,,129.0,9.6,,1010.8,
2018-03-15,29.3,24.6,34.6,,,38.0,9.9,,1011.8,
2018-03-16,29.6,26.6,33.6,,,172.0,14.4,,1010.2,
2018-03-17,27.3,25.6,30.6,,,146.0,12.4,,1012.6,
2018-03-18,27.2,24.6,30.6,,,143.0,9.9,,1010.4,
2018-03-19,28.4,24.6,33.6,,,80.0,10.3,,1008.0,
2018-03-20,28.9,26.6,32.6,,,57.0,11.9,,1009.2,
2018-03-21,27.1,24.6,29.6,,,165.0,13.2,,,
2018-03-22,24.8,23.6,27.6,15.0,,153.0,11.0,,1013.9,
2018-03-23,27.4,23.6,30.6,0.0,,70.0,9.3,,1012.9,
2018-03-24,28.1,24.6,32.6,,,119.0,9.8,,1013.5,
2018-03-25,28.4,23.6,32.6,,,85.0,7.3,,1013.1,
2018-03-26,28.5,24.6,33.6,,,23.0,12.5,,1014.3,
2018-03-27,27.7,24.6,31.6,,,94.0,9.9,,1015.4,
2018-03-28,27.3,24.6,31.6,,,86.0,9.8,,1015.3,
2018-03-29,26.9,23.6,31.6,,,89.0,13.1,,1015.1,
2018-03-30,26.7,23.6,30.6,,,98.0,11.1,,1013.9,
2018-03-31,27.0,23.6,31.6,,,78.0,9.5,,1011.8,
2018-04-01,27.9,23.6,33.6,,,351.0,8.7,,1009.4,
2018-04-02,27.4,24.6,32.6,,,354.0,11.5,,1009.4,
2018-04-03,27.2,23.6,32.6,,,312.0,13.4,,1008.1,
2018-04-04,25.3,23.6,28.6,23.9,,242.0,12.0,,1009.8,
2018-04-05,26.1,23.6,29.6,0.0,,65.0,11.8,,1010.4,
2018-04-06,26.3,24.6,29.6,,,159.0,9.9,,1012.2,
2018-04-07,26.6,23.6,29.6,,,125.0,10.8,,1014.2,
2018-04-08,26.1,23.6,29.6,,,112.0,11.2,,1015.7,
2018-04-09,26.2,23.6,29.6,,,104.0,10.9,,1016.7,
2018-04-10,25.9,22.6,29.6,,,105.0,10.5,,1018.6,
2018-04-11,23.4,,,,,,,,,
2018-04-12,26.1,23.6,31.6,,,60.0,7.8,,,
2018-04-13,27.0,24.6,31.6,,,58.0,8.9,,1017.9,
2018-04-14,26.7,24.6,29.6,,,161.0,12.1,,1020.6,
2018-04-15,23.6,20.6,26.6,2.0,,146.0,10.8,,1020.8,
2018-04-16,23.4,21.6,29.6,9.9,,134.0,11.1,,1021.2,
2018-04-17,23.7,20.6,27.6,0.0,,82.0,10.1,,1022.3,
2018-04-18,23.3,19.6,27.6,,,82.0,9.0,,1022.6,
2018-04-19,23.8,20.6,28.6,,,59.0,8.9,,1020.2,
2018-04-20,23.9,20.6,28.6,,,98.0,11.7,,1017.2,
2018-04-21,24.3,22.6,29.6,,,131.0,10.4,,1016.6,
2018-04-22,24.5,21.6,28.6,,,96.0,10.4,,1016.9,
2018-04-23,23.2,19.1,28.6,,,79.0,8.8,,1017.9,
2018-04-24,25.1,22.6,28.6,,,,8.1,,,
2018-04-25,24.2,21.6,27.6,,,90.0,9.4,,1018.6,
2018-04-26,24.7,22.6,27.6,,,126.0,11.4,,1017.3,
2018-04-27,24.9,21.6,29.6,,,161.0,12.2,,1018.0,
2018-04-28,25.1,22.6,29.6,,,84.0,8.8,,1018.4,
2018-04-29,24.2,20.6,28.6,,,132.0,8.3,,1017.5,
2018-04-30,23.5,19.6,27.6,,,,8.9,,1015.8,
2018-05-01,24.7,20.6,31.6,,,26.0,10.9,,1016.3,
2018-05-02,23.8,21.6,28.6,,,64.0,9.4,,,
2018-05-03,23.9,21.6,27.6,,,141.0,7.4,,1018.6,
2018-05-04,24.8,21.6,29.6,,,89.0,9.8,,1017.0,
2018-05-05,24.5,21.6,28.6,,,62.0,11.0,,,
2018-05-06,24.2,21.6,28.6,,,258.0,9.7,,,
2018-05-07,24.4,21.6,27.6,,,73.0,9.4,,,
2018-05-08,23.0,21.6,25.6,,,140.0,11.2,,1020.3,
2018-05-09,23.3,20.6,27.6,6.1,,107.0,8.9,,1021.1,
2018-05-10,23.5,19.6,27.6,0.0,,,7.7,,1018.5,
2018-05-11,23.8,19.6,28.6,,,,9.9,,1015.3,
2018-05-12,25.7,21.6,32.6,,,315.0,13.1,,1012.0,
2018-05-13,24.3,22.6,26.6,,,207.0,11.2,,1016.9,
2018-05-14,23.5,20.6,27.6,,,102.0,9.6,,1018.3,
2018-05-15,23.9,20.6,27.6,,,,5.1,,,
2018-05-16,25.5,21.6,33.6,,,311.0,12.3,,1013.6,
2018-05-17,22.9,21.6,24.6,,,212.0,8.3,,,
2018-05-18,24.2,20.6,28.6,,,,6.0,,,
2018-05-19,24.8,21.6,32.6,,,326.0,13.3,,,
2018-05-20,22.2,18.6,26.6,16.0,,260.0,13.7,,1010.1,
2018-05-21,20.3,16.6,24.6,0.0,,324.0,12.3,,,
2018-05-22,20.3,16.6,24.6,,,338.0,10.0,,1018.1,
2018-05-23,21.5,18.6,24.6,,,279.0,9.5,,1020.3,
2018-05-24,21.6,18.6,25.6,,,13.0,9.3,,,
2018-05-25,21.9,19.6,25.6,,,74.0,10.8,,1022.4,
2018-05-26,22.4,19.6,25.6,,,107.0,9.8,,1021.5,
2018-05-27,22.0,19.6,24.6,,,100.0,9.2,,,
2018-05-28,20.8,17.6,25.6,,,56.0,7.8,,,
2018-05-29,22.7,19.6,26.6,,,84.0,9.7,,1023.3,
2018-05-30,21.4,17.9,24.6,,,,6.9,,1021.2,
2018-05-31,22.2,19.6,26.6,,,31.0,9.1,,1017.1,
2018-06-01,23.9,20.6,29.6,,,89.0,7.4,,1015.1,
2018-06-02,23.9,20.6,30.6,,,356.0,8.9,,1015.5,
2018-06-03,22.0,19.6,25.6,,,153.0,10.7,,1020.8,
2018-06-04,19.7,18.6,21.6,2.0,,316.0,6.9,,1023.7,
2018-06-05,20.4,18.6,22.6,1.0,,,7.8,,979.8,
2018-06-06,23.4,19.6,28.6,1.0,,273.0,14.9,,1012.0,
2018-06-07,21.9,20.6,24.6,1.0,,,5.9,,1014.8,
2018-06-08,21.8,20.6,23.6,0.0,,,8.8,,1017.6,
2018-06-09,21.2,19.6,23.6,,,49.0,8.3,,1021.3,
2018-06-10,22.5,18.6,27.6,,,46.0,5.3,,1017.0,
2018-06-11,23.0,19.6,27.6,,,,7.4,,1014.3,
2018-06-12,24.0,20.6,29.6,,,,8.2,,1012.6,
2018-06-13,24.6,21.6,28.6,,,337.0,9.5,,1014.9,
2018-06-14,21.1,18.6,24.6,3.0,,181.0,14.4,,1020.9,
2018-06-15,19.4,18.6,20.6,7.9,,117.0,5.6,,1023.3,
2018-06-16,20.4,19.6,22.6,0.0,,283.0,8.4,,1023.9,
