time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,14.4,10.0,18.4,,,190.0,9.8,,1017.5,
2019-01-02,14.2,11.0,17.0,,,194.0,26.1,,1015.5,
2019-01-03,13.3,10.0,17.0,,,197.0,22.5,,1020.9,
2019-01-04,14.0,10.0,18.0,,,186.0,11.7,,1022.3,
2019-01-05,13.8,9.0,17.0,,,229.0,12.6,,1018.2,
2019-01-06,12.0,9.5,14.0,,,226.0,31.6,,1017.3,
2019-01-07,11.5,8.0,15.0,,,196.0,21.8,,1019.6,
2019-01-08,12.2,9.0,16.4,,,221.0,27.5,,1018.4,
2019-01-09,10.5,7.0,14.0,,,204.0,13.5,,1022.3,
2019-01-10,11.6,8.0,17.0,,,72.0,10.7,,1022.7,
2019-01-11,11.7,6.7,17.0,,,45.0,7.6,,1020.1,
2019-01-12,14.5,9.5,20.2,,,124.0,10.8,,1012.2,
2019-01-13,13.5,10.6,18.0,,,217.0,38.5,,1010.9,
2019-01-14,13.0,10.0,17.0,,,204.0,23.9,,1014.5,
2019-01-15,12.5,9.0,16.0,,,195.0,30.0,,1014.7,
2019-01-16,11.1,8.9,14.0,,,229.0,34.5,,1014.9,
2019-01-17,11.5,7.0,15.3,,,207.0,14.8,,1022.9,
2019-01-18,13.3,8.8,18.0,,,51.0,6.4,,1022.7,
2019-01-19,13.4,9.0,18.4,,,61.0,14.4,,1021.0,
2019-01-20,13.5,9.0,17.3,,,51.0,10.7,,1019.4,
2019-01-21,16.3,11.0,24.0,,,33.0,5.8,,1016.8,
2019-01-22,14.2,10.4,18.0,,,20.0,7.0,,1017.0,
2019-01-23,15.2,11.0,20.1,,,84.0,8.0,,1013.2,
2019-01-24,18.1,13.8,21.0,,,200.0,21.6,,1011.3,
2019-01-25,16.4,10.0,22.4,,,156.0,7.0,,1013.6,
2019-01-26,19.9,15.0,25.0,,,187.0,19.7,,1010.2,
2019-01-27,15.5,13.0,18.0,,,248.0,17.5,,1013.0,
2019-01-28,15.1,11.5,19.0,,,222.0,17.4,,1016.4,
2019-01-29,15.7,12.0,20.0,,,176.0,10.9,,1017.2,
2019-01-30,16.0,11.0,20.0,,,216.0,16.7,,1015.0,
2019-01-31,16.1,12.0,20.0,,,188.0,12.4,,1020.1,
2019-02-01,16.9,12.0,22.0,,,220.0,7.6,,1021.2,
2019-02-02,15.2,11.0,20.3,,,36.0,13.8,,1020.9,
2019-02-03,15.8,11.0,23.0,,,48.0,21.6,,1018.5,
2019-02-04,18.4,10.0,28.0,,,69.0,4.6,,1014.9,
2019-02-05,21.9,14.6,28.0,,,88.0,13.4,,1011.7,
2019-02-06,14.0,10.9,18.0,,,343.0,9.9,,1015.6,
2019-02-07,15.1,10.0,20.0,,,193.0,14.2,,1013.3,
2019-02-08,16.1,13.0,19.3,,,230.0,15.8,,1015.7,
2019-02-09,15.3,12.0,19.0,,,270.0,8.8,,1019.3,
2019-02-10,14.7,10.8,18.0,,,301.0,9.3,,1021.0,
2019-02-11,15.0,12.0,19.0,,,307.0,7.9,,1022.8,
2019-02-12,14.9,10.9,20.0,,,58.0,11.1,,1020.2,
2019-02-13,15.3,10.0,20.0,,,234.0,9.6,,1014.7,
2019-02-14,14.2,12.0,17.8,,,222.0,26.9,,1013.6,
2019-02-15,13.0,10.7,15.0,,,209.0,23.9,,1014.5,
2019-02-16,14.3,10.0,18.0,,,217.0,14.3,,1020.9,
2019-02-17,14.8,11.7,19.0,,,203.0,11.7,,1021.2,
2019-02-18,13.6,10.0,17.0,,,291.0,8.4,,1020.4,
2019-02-19,14.5,10.0,19.0,,,340.0,6.5,,1023.0,
2019-02-20,15.4,12.0,19.0,,,22.0,7.6,,1022.1,
2019-02-21,15.2,11.0,19.2,,,,8.1,,1020.7,
2019-02-22,15.1,11.0,19.0,,,295.0,6.4,,1018.6,
2019-02-23,15.6,11.0,19.9,,,93.0,5.7,,1018.0,
2019-02-24,17.6,12.0,23.0,,,67.0,13.0,,1016.9,
2019-02-25,21.8,13.4,31.0,,,199.0,16.1,,1011.8,
2019-02-26,17.4,13.0,21.0,,,247.0,26.4,,1013.7,
2019-02-27,16.6,13.0,21.0,,,254.0,22.0,,1012.9,
2019-02-28,14.4,12.7,16.0,,,266.0,24.6,,1014.7,
2019-03-01,14.9,12.0,18.0,,,284.0,15.7,,1018.2,
2019-03-02,16.8,14.0,21.0,,,244.0,15.0,,1016.7,
2019-03-03,16.9,12.9,23.0,,,212.0,19.9,,1015.0,
2019-03-04,16.7,13.0,21.0,,,271.0,11.4,,1016.4,
2019-03-05,14.7,12.5,17.0,,,10.0,10.7,,1018.2,
2019-03-06,15.0,10.0,20.0,,,36.0,8.9,,1023.9,
2019-03-07,15.8,11.0,20.0,,,28.0,12.0,,1023.9,
2019-03-08,16.7,11.9,22.0,,,41.0,14.3,,1023.9,
2019-03-09,17.1,11.0,23.1,,,42.0,18.4,,1024.6,
2019-03-10,17.3,13.9,23.0,,,20.0,14.4,,1023.2,
2019-03-11,17.9,13.0,23.0,,,32.0,8.8,,1021.6,
2019-03-12,19.2,14.0,25.2,,,48.0,12.0,,1015.7,
2019-03-13,18.6,14.0,24.0,,,221.0,23.7,,1009.5,
2019-03-14,17.0,13.0,21.0,,,268.0,22.3,,1014.7,
2019-03-15,18.4,14.0,24.0,,,234.0,18.2,,1014.6,
2019-03-16,16.5,14.0,19.8,,,272.0,22.4,,1016.0,
2019-03-17,17.1,13.0,21.0,,,311.0,12.5,,1021.2,
2019-03-18,18.0,12.6,24.0,,,49.0,10.5,,1020.0,
2019-03-19,18.3,13.5,25.0,,,30.0,16.9,,1017.1,
2019-03-20,18.4,14.9,24.0,,,24.0,18.8,,1015.9,
2019-03-21,19.4,15.9,25.0,,,31.0,17.5,,1015.9,
2019-03-22,19.8,14.5,26.0,,,44.0,15.7,,1016.0,
