time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,4.9,2.5,6.4,0.0,,151.0,5.2,18.5,1029.4,
2020-01-02,9.0,6.6,10.6,0.0,,206.0,14.8,35.2,1020.3,
2020-01-03,9.0,6.6,11.6,1.5,,268.0,19.7,38.9,1021.3,
2020-01-04,6.9,4.6,8.6,0.5,,251.0,16.6,27.8,1034.0,
2020-01-05,8.1,6.6,8.6,0.0,,242.0,13.9,24.1,1033.1,
2020-01-06,8.1,6.6,9.6,0.0,,223.0,18.6,33.3,1022.0,
2020-01-07,9.9,6.6,12.6,0.8,,227.0,17.6,38.9,1021.7,
2020-01-08,11.6,9.6,13.6,0.3,,239.0,16.3,35.2,1020.6,
2020-01-09,10.8,5.8,13.2,1.0,,223.0,21.9,40.8,1006.7,
2020-01-10,6.8,5.6,7.6,4.3,,295.0,14.8,29.6,1023.0,
2020-01-11,9.0,5.6,11.0,0.0,,221.0,25.3,48.2,1023.9,
2020-01-12,10.0,6.6,11.6,0.5,,237.0,22.4,46.3,1018.0,
2020-01-13,7.5,4.3,9.8,0.3,,204.0,21.1,50.0,1007.8,
2020-01-14,10.9,8.6,13.6,6.1,,212.0,25.1,63.0,995.8,
2020-01-15,9.3,7.6,12.6,9.9,,234.0,19.6,46.3,1007.2,
2020-01-16,9.9,6.6,12.6,3.0,,175.0,17.8,44.5,1014.5,
2020-01-17,8.4,4.6,10.6,4.6,,235.0,17.4,38.9,1012.7,
2020-01-18,5.0,2.6,7.6,1.0,,298.0,13.0,22.2,1028.0,
2020-01-19,4.3,1.6,7.6,0.0,,321.0,7.0,18.5,1044.2,
2020-01-20,4.4,1.6,7.6,0.3,,275.0,8.1,14.8,1047.3,
2020-01-21,3.7,0.6,7.6,0.0,,280.0,7.7,14.8,1041.3,
2020-01-22,5.9,3.6,7.6,0.0,,8.0,4.6,16.7,1037.2,
2020-01-23,7.4,6.6,7.6,0.3,,46.0,4.5,14.8,1030.8,
2020-01-24,6.8,6.6,7.6,0.0,,280.0,5.6,11.1,1022.7,
2020-01-25,6.0,4.6,6.6,0.0,,181.0,9.8,22.2,1018.4,
2020-01-26,8.8,5.6,10.6,0.3,,198.0,14.0,35.2,1009.4,
2020-01-27,8.1,6.6,9.6,2.8,,222.0,13.1,27.8,999.1,
