time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,13.6,4.8,23.4,,,,2.4,,1020.3,
2019-01-02,14.6,7.3,23.8,,,,1.8,,1020.2,
2019-01-03,14.3,7.5,24.2,,,,5.4,,1021.3,
2019-01-04,13.0,7.9,21.3,,,,4.6,,1020.3,
2019-01-05,14.0,6.2,21.8,,,104.0,5.3,,1018.8,
2019-01-06,14.7,9.4,22.0,2.0,,44.0,4.6,,1018.0,
2019-01-07,14.0,7.9,20.8,,,288.0,4.7,,1019.9,
2019-01-08,14.4,7.8,20.9,,,279.0,6.5,,1018.4,
2019-01-09,14.3,8.8,21.2,,,280.0,8.2,,1017.3,
2019-01-10,13.0,5.6,21.4,,,,4.2,,1017.3,
2019-01-11,13.5,5.6,22.4,,,,1.7,,1018.6,
2019-01-12,14.6,7.9,23.1,,,,1.8,,1017.9,
2019-01-13,16.6,9.3,23.7,,,358.0,3.2,,1019.4,
2019-01-14,14.1,8.8,24.3,,,283.0,10.6,,1019.8,
2019-01-15,12.0,6.8,20.3,,,268.0,8.9,,1018.7,
2019-01-16,13.0,5.3,20.4,,,,1.9,,1018.5,
2019-01-17,13.6,5.0,22.8,,,,2.1,,1017.5,
2019-01-18,13.6,5.6,23.0,,,,4.4,,1017.5,
2019-01-19,15.6,6.5,26.2,,,,2.8,,1017.3,
2019-01-20,18.3,7.8,29.0,,,,2.0,,1016.3,
2019-01-21,17.2,12.3,29.5,3.0,,112.0,9.7,,1013.6,
2019-01-22,15.3,14.4,23.4,15.0,,109.0,8.5,,1014.1,
2019-01-23,14.6,8.8,20.2,27.9,,301.0,2.8,,1017.5,
2019-01-24,15.6,10.5,21.8,0.0,,351.0,3.6,,1019.9,
2019-01-25,14.2,11.8,22.8,6.1,,304.0,5.4,,1019.6,
2019-01-26,13.0,6.8,19.8,0.0,,291.0,6.5,,1022.5,
2019-01-27,13.7,6.0,20.0,,,292.0,11.5,,1022.8,
2019-01-28,14.1,6.3,19.8,,,281.0,8.5,,1022.5,
2019-01-29,14.9,6.2,20.8,,,289.0,5.9,,1020.9,
2019-01-30,15.0,6.0,21.2,,,265.0,4.5,,1019.6,
2019-01-31,16.3,9.0,21.8,,,104.0,6.6,,1018.1,
2019-02-01,17.1,11.8,22.8,0.0,,42.0,5.7,,1018.4,
