time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,28.0,24.6,32.6,,,48.0,11.5,,1012.8,
2019-01-02,27.9,25.6,31.6,1.0,,61.0,13.1,,1012.9,
2019-01-03,30.1,25.6,36.6,0.0,,353.0,12.4,,1009.5,
2019-01-04,30.6,26.6,36.6,,,6.0,16.0,,1009.3,
2019-01-05,27.6,24.6,30.6,,,299.0,13.5,,1011.5,
2019-01-06,27.1,24.6,30.6,10.9,,111.0,14.4,,1011.8,
2019-01-07,29.9,24.6,35.6,0.0,,85.0,10.2,,1011.3,
2019-01-08,30.3,26.6,37.6,,,355.0,11.7,,1011.9,
2019-01-09,29.0,24.6,34.6,,,130.0,11.6,,1012.5,
2019-01-10,28.4,24.6,34.6,,,89.0,10.7,,1012.4,
2019-01-11,27.9,24.6,32.6,,,92.0,12.5,,1013.5,
2019-01-12,26.9,23.6,30.6,,,152.0,12.7,,1014.0,
2019-01-13,27.8,24.6,32.6,,,130.0,12.0,,1014.3,
2019-01-14,28.5,24.6,32.6,,,95.0,11.3,,1013.2,
2019-01-15,29.1,25.6,33.6,,,357.0,11.5,,1012.3,
2019-01-16,28.4,25.6,32.6,,,55.0,16.1,,1012.8,
2019-01-17,29.1,25.6,34.6,1.0,,59.0,15.4,,1012.5,
2019-01-18,27.1,23.6,33.6,0.0,,150.0,13.8,,1012.2,
2019-01-19,28.8,24.6,34.6,,,138.0,11.5,,1010.0,
2019-01-20,28.7,25.6,33.6,1.0,,146.0,13.7,,1011.5,
2019-01-21,29.8,25.6,34.6,1.0,,346.0,10.8,,1012.2,
2019-01-22,29.8,26.6,34.6,0.0,,146.0,14.3,,1013.3,
2019-01-23,29.4,26.6,32.6,,,140.0,13.4,,1013.6,
2019-01-24,29.6,25.6,32.6,,,116.0,14.3,,1012.6,
2019-01-25,27.3,21.6,32.6,,,132.0,13.3,,1013.8,
2019-01-26,26.6,22.6,31.6,7.9,,65.0,10.3,,1014.7,
2019-01-27,28.9,24.6,32.6,0.0,,78.0,11.2,,1014.9,
2019-01-28,29.2,25.6,32.6,,,93.0,11.8,,1015.5,
2019-01-29,30.0,27.6,33.6,,,111.0,13.4,,1014.3,
2019-01-30,30.1,26.6,34.6,,,88.0,11.9,,1012.3,
2019-01-31,29.0,25.6,31.6,,,144.0,13.3,,1011.5,
2019-02-01,28.8,25.6,32.6,,,154.0,13.2,,1011.9,
2019-02-02,29.4,25.6,33.6,,,143.0,13.6,,1011.2,
2019-02-03,29.5,26.6,33.6,,,158.0,14.8,,1010.9,
2019-02-04,25.9,23.6,27.6,1.0,,136.0,12.5,,1012.5,
2019-02-05,24.5,22.6,27.6,70.1,,92.0,9.8,,1014.8,
2019-02-06,24.6,21.6,27.6,2.0,,357.0,10.1,,1013.2,
2019-02-07,24.5,21.6,28.6,19.1,,204.0,12.1,,1011.2,
2019-02-08,26.5,23.6,29.6,1.0,,156.0,12.0,,1011.2,
2019-02-09,27.1,24.6,29.6,0.0,,116.0,12.4,,1012.0,
2019-02-10,28.6,25.6,31.6,,,94.0,11.7,,1010.8,
2019-02-11,30.7,26.6,36.6,,,358.0,10.3,,1010.4,
2019-02-12,29.4,24.6,33.6,,,357.0,14.6,,1010.3,
2019-02-13,25.6,24.6,27.6,7.1,,176.0,13.9,,1013.8,
2019-02-14,25.6,23.6,28.6,4.1,,122.0,10.7,,1015.4,
2019-02-15,25.2,23.6,27.6,0.0,,107.0,8.7,,1010.9,
2019-02-16,25.5,23.6,28.6,,,183.0,9.0,,1006.8,
2019-02-17,27.0,23.6,31.6,,,117.0,10.3,,1008.4,
2019-02-18,26.1,24.6,29.6,,,122.0,11.3,,1010.8,
2019-02-19,27.4,24.6,30.6,9.9,,52.0,12.6,,1009.6,
2019-02-20,27.3,24.6,31.6,8.9,,10.0,13.4,,1009.9,
2019-02-21,26.8,25.6,28.6,0.0,,43.0,7.0,,1013.2,
2019-02-22,27.8,24.6,30.6,1.0,,116.0,13.3,,1013.6,
2019-02-23,28.7,24.6,34.6,2.0,,44.0,11.9,,1010.6,
2019-02-24,29.7,26.6,34.6,0.0,,14.0,12.0,,1007.7,
2019-02-25,28.9,23.6,34.6,,,358.0,13.0,,1007.7,
2019-02-26,27.3,25.6,31.6,6.1,,22.0,13.3,,1010.5,
2019-02-27,27.4,24.6,30.6,0.0,,58.0,12.3,,1011.0,
2019-02-28,27.2,24.6,30.6,2.0,,173.0,11.9,,1011.4,
2019-03-01,27.2,23.6,30.6,1.0,,143.0,10.2,,1012.4,
